version,region,arch,ami
10.0.20250530.0,af-south-1,aarch64,ami-012fd3a825f588ade
10.0.20250530.0,af-south-1,x86_64,ami-0f926adf679a6ac00
10.0.20250530.0,ap-east-1,aarch64,ami-0acbae41620154d11
10.0.20250530.0,ap-east-1,x86_64,ami-0fc9861dadf7d6606
10.0.20250530.0,ap-northeast-1,aarch64,ami-0f59c9c26e810ea8f
10.0.20250530.0,ap-northeast-1,x86_64,ami-0d77acf954aaafc62
10.0.20250530.0,ap-northeast-2,aarch64,ami-0e10b7b9819715d13
10.0.20250530.0,ap-northeast-2,x86_64,ami-0a646e63cf1c30859
10.0.20250530.0,ap-northeast-3,aarch64,ami-05c4a9fb30b83671f
10.0.20250530.0,ap-northeast-3,x86_64,ami-04e4f201031b1c14b
10.0.20250530.0,ap-south-1,aarch64,ami-070ee6218642d3769
10.0.20250530.0,ap-south-1,x86_64,ami-0fe7d1ba2a9cb08df
10.0.20250530.0,ap-south-2,aarch64,ami-0559ead1b7c41b4fc
10.0.20250530.0,ap-south-2,x86_64,ami-083b15fabc6e3921d
10.0.20250530.0,ap-southeast-1,aarch64,ami-048662e59b481a772
10.0.20250530.0,ap-southeast-1,x86_64,ami-0d260e85f610caad2
10.0.20250530.0,ap-southeast-2,aarch64,ami-04aa5808fb3c0f9b8
10.0.20250530.0,ap-southeast-2,x86_64,ami-0f45783a4766a25df
10.0.20250530.0,ap-southeast-3,aarch64,ami-02ce7b2d12b8795fe
10.0.20250530.0,ap-southeast-3,x86_64,ami-07b97cd51e050a94e
10.0.20250530.0,ap-southeast-4,aarch64,ami-027831e250065e002
10.0.20250530.0,ap-southeast-4,x86_64,ami-0504d16722e31bb67
10.0.20250530.0,ap-southeast-5,aarch64,ami-0a4e014c75a7392cf
10.0.20250530.0,ap-southeast-5,x86_64,ami-078ebca74e1ed9309
10.0.20250530.0,ap-southeast-7,aarch64,ami-0ae6618bfe16ed9ef
10.0.20250530.0,ap-southeast-7,x86_64,ami-08bc45b1609705c4e
10.0.20250530.0,ca-central-1,aarch64,ami-00cb1415d324dd0f3
10.0.20250530.0,ca-central-1,x86_64,ami-0fc2203177ed73d62
10.0.20250530.0,ca-west-1,aarch64,ami-0a8f7f06ccdcdb12f
10.0.20250530.0,ca-west-1,x86_64,ami-086034685e6152af3
10.0.20250530.0,eu-central-1,aarch64,ami-0b7a9399ab1c67e5b
10.0.20250530.0,eu-central-1,x86_64,ami-000e54d1f50361e6e
10.0.20250530.0,eu-central-2,aarch64,ami-08f2ec233d6fa2fbe
10.0.20250530.0,eu-central-2,x86_64,ami-00b639d3fbfa6d83e
10.0.20250530.0,eu-north-1,aarch64,ami-0fa191e8eeabe4d6d
10.0.20250530.0,eu-north-1,x86_64,ami-0234c59b00e36c6dd
10.0.20250530.0,eu-south-1,aarch64,ami-08159557576fa5653
10.0.20250530.0,eu-south-1,x86_64,ami-07ade3a4d70f1f2c0
10.0.20250530.0,eu-south-2,aarch64,ami-08b6445c6476dc9dc
10.0.20250530.0,eu-south-2,x86_64,ami-0d6a89e197ca928f6
10.0.20250530.0,eu-west-1,aarch64,ami-01a117c2fea2da9a0
10.0.20250530.0,eu-west-1,x86_64,ami-0512223d2c3280e8f
10.0.20250530.0,eu-west-2,aarch64,ami-00dae42328d9f9126
10.0.20250530.0,eu-west-2,x86_64,ami-0dee615df20465bdf
10.0.20250530.0,eu-west-3,aarch64,ami-04e9af683ef5d5cfb
10.0.20250530.0,eu-west-3,x86_64,ami-01324cca1b7747b52
10.0.20250530.0,il-central-1,aarch64,ami-0b6871ab664e59c2f
10.0.20250530.0,il-central-1,x86_64,ami-0b20b7ac196fa40ce
10.0.20250530.0,me-central-1,aarch64,ami-048abb63e650c3eff
10.0.20250530.0,me-central-1,x86_64,ami-025b4bace998ac004
10.0.20250530.0,me-south-1,aarch64,ami-0baced4a19dcf8537
10.0.20250530.0,me-south-1,x86_64,ami-07928c3959ebea0e6
10.0.20250530.0,mx-central-1,aarch64,ami-013ae51e2e0f793cd
10.0.20250530.0,mx-central-1,x86_64,ami-0c5c8ce5ab72b6ed3
10.0.20250530.0,sa-east-1,aarch64,ami-00d34896c56092cd3
10.0.20250530.0,sa-east-1,x86_64,ami-0d68d3b558db35ed0
10.0.20250530.0,us-east-1,aarch64,ami-0088cc5c1715837e1
10.0.20250530.0,us-east-1,x86_64,ami-01d87dc7c538eb2b3
10.0.20250530.0,us-east-2,aarch64,ami-0f5ead2bc98a63a65
10.0.20250530.0,us-east-2,x86_64,ami-06be7a8dff9965741
10.0.20250530.0,us-west-1,aarch64,ami-04021cceac158316b
10.0.20250530.0,us-west-1,x86_64,ami-0d006600c05c66726
10.0.20250530.0,us-west-2,aarch64,ami-0bb2ecbe4b6b9f856
10.0.20250530.0,us-west-2,x86_64,ami-03caa4ee6c381105b
