version,region,arch,ami
8.10.20240820,af-south-1,aarch64,ami-00edef6bfe68e7ddf
8.10.20240820,af-south-1,x86_64,ami-0b73f9ad125fb7917
8.10.20240820,ap-east-1,aarch64,ami-05d28dc0a36d6e356
8.10.20240820,ap-east-1,x86_64,ami-095a10632bec83594
8.10.20240820,ap-northeast-1,aarch64,ami-0c2f60f7a5b931b04
8.10.20240820,ap-northeast-1,x86_64,ami-09a76e2a3c19fb6ca
8.10.20240820,ap-northeast-2,aarch64,ami-0fad86cbf8f9a542b
8.10.20240820,ap-northeast-2,x86_64,ami-0413ca4a7d3ca0d06
8.10.20240820,ap-northeast-3,aarch64,ami-074305ea1aa643af7
8.10.20240820,ap-northeast-3,x86_64,ami-067520a647ea9beaa
8.10.20240820,ap-south-1,aarch64,ami-00fcce4f482ac540b
8.10.20240820,ap-south-1,x86_64,ami-0e1a57c5265125517
8.10.20240820,ap-south-2,aarch64,ami-0c93f886176644251
8.10.20240820,ap-south-2,x86_64,ami-00c6b85abb900cecd
8.10.20240820,ap-southeast-1,aarch64,ami-07e55ce960e743ca5
8.10.20240820,ap-southeast-1,x86_64,ami-0a639bcd776f53adb
8.10.20240820,ap-southeast-2,aarch64,ami-08493610589214684
8.10.20240820,ap-southeast-2,x86_64,ami-03fbe82d61f93711a
8.10.20240820,ap-southeast-3,aarch64,ami-0421142e62ebe3f44
8.10.20240820,ap-southeast-3,x86_64,ami-0674da1eadce69fed
8.10.20240820,ap-southeast-4,aarch64,ami-08b27bfedd2b5583c
8.10.20240820,ap-southeast-4,x86_64,ami-051f723cbeee1e2eb
8.10.20240820,ap-southeast-5,aarch64,ami-094a0bc259323b834
8.10.20240820,ap-southeast-5,x86_64,ami-036a6b681793c4841
8.10.20240820,ca-central-1,aarch64,ami-04c49099a1a4b33c4
8.10.20240820,ca-central-1,x86_64,ami-0ddf77a117c0069b8
8.10.20240820,ca-west-1,aarch64,ami-008e5b9143e39100e
8.10.20240820,ca-west-1,x86_64,ami-0dd63ce06d19b3c0d
8.10.20240820,eu-central-1,aarch64,ami-0afc91e8cf84a2ad9
8.10.20240820,eu-central-1,x86_64,ami-0885614e0c26eacb2
8.10.20240820,eu-central-2,aarch64,ami-0fcf322b05905b768
8.10.20240820,eu-central-2,x86_64,ami-080279fc703ce5de8
8.10.20240820,eu-north-1,aarch64,ami-07ecb5e3b6d9be91e
8.10.20240820,eu-north-1,x86_64,ami-06ccc94382a0ec897
8.10.20240820,eu-south-1,aarch64,ami-05337094271078908
8.10.20240820,eu-south-1,x86_64,ami-0ea44e2330c04cbcf
8.10.20240820,eu-south-2,aarch64,ami-080dbfd31806ea21a
8.10.20240820,eu-south-2,x86_64,ami-0d15a2b87a42791e5
8.10.20240820,eu-west-1,aarch64,ami-0c86b999a1a04fa1b
8.10.20240820,eu-west-1,x86_64,ami-08dac599ae3228b30
8.10.20240820,eu-west-2,aarch64,ami-075c0433d4863e7d8
8.10.20240820,eu-west-2,x86_64,ami-0623648722c2741f7
8.10.20240820,eu-west-3,aarch64,ami-04f58f558dc501a56
8.10.20240820,eu-west-3,x86_64,ami-02f73956bec41f6eb
8.10.20240820,il-central-1,aarch64,ami-00149de67caaadbb4
8.10.20240820,il-central-1,x86_64,ami-0b615118df5dad96b
8.10.20240820,me-central-1,aarch64,ami-044fd3983ec0b04c0
8.10.20240820,me-central-1,x86_64,ami-09a528b9d4ddda446
8.10.20240820,me-south-1,aarch64,ami-0226e0a6a3b742e51
8.10.20240820,me-south-1,x86_64,ami-09921b16046011ce2
8.10.20240820,sa-east-1,aarch64,ami-02cb875f6e89f5afa
8.10.20240820,sa-east-1,x86_64,ami-0605b89a61df504fd
8.10.20240820,us-east-1,aarch64,ami-0f1d97cfa7cf5ad5d
8.10.20240820,us-east-1,x86_64,ami-0825c833650fed842
8.10.20240820,us-east-2,aarch64,ami-01d5ed1fa2aab982a
8.10.20240820,us-east-2,x86_64,ami-0f4ab906702bed7d5
8.10.20240820,us-west-1,aarch64,ami-0e29d461279664e56
8.10.20240820,us-west-1,x86_64,ami-06b3617b535631431
8.10.20240820,us-west-2,aarch64,ami-09e922ec8f159cf62
8.10.20240820,us-west-2,x86_64,ami-05d9accf06ed81259
